impd,date,year,gear,spp,tl,aged,age
GDCL,10/3/2017,2017,EF,Bluegill,160,0,
GDCL,10/3/2017,2017,EF,Bluegill,160,0,
GDCL,10/3/2017,2017,EF,Bluegill,161,0,
GDCL,10/3/2017,2017,EF,Bluegill,161,0,
GDCL,10/3/2017,2017,EF,Bluegill,162,0,
GDCL,10/3/2017,2017,EF,Bluegill,162,0,
GDCL,10/3/2017,2017,EF,Bluegill,162,0,
GDCL,10/3/2017,2017,EF,Bluegill,162,0,
GDCL,10/3/2017,2017,EF,Bluegill,163,0,
GDCL,10/3/2017,2017,EF,Bluegill,164,0,
GDCL,10/3/2017,2017,EF,Bluegill,164,0,
GDCL,10/3/2017,2017,EF,Bluegill,165,0,
GDCL,10/3/2017,2017,EF,Bluegill,166,0,
GDCL,10/3/2017,2017,EF,Bluegill,166,0,
GDCL,10/3/2017,2017,EF,Bluegill,166,0,
GDCL,10/3/2017,2017,EF,Bluegill,166,0,
GDCL,10/3/2017,2017,EF,Bluegill,166,0,
GDCL,10/3/2017,2017,EF,Bluegill,166,0,
GDCL,10/3/2017,2017,EF,Bluegill,167,0,
GDCL,10/3/2017,2017,EF,Bluegill,167,0,
GDCL,10/3/2017,2017,EF,Bluegill,168,0,
GDCL,10/3/2017,2017,EF,Bluegill,168,0,
GDCL,10/3/2017,2017,EF,Bluegill,168,0,
GDCL,10/3/2017,2017,EF,Bluegill,168,0,
GDCL,10/3/2017,2017,EF,Bluegill,168,0,
GDCL,10/3/2017,2017,EF,Bluegill,168,0,
GDCL,10/3/2017,2017,EF,Bluegill,168,0,
GDCL,10/3/2017,2017,EF,Bluegill,169,0,
GDCL,10/3/2017,2017,EF,Bluegill,170,0,
GDCL,10/3/2017,2017,EF,Bluegill,171,0,
GDCL,10/3/2017,2017,EF,Bluegill,171,0,
GDCL,10/3/2017,2017,EF,Bluegill,171,0,
GDCL,10/3/2017,2017,EF,Bluegill,172,0,
GDCL,10/3/2017,2017,EF,Bluegill,172,0,
GDCL,10/3/2017,2017,EF,Bluegill,172,0,
GDCL,10/3/2017,2017,EF,Bluegill,172,0,
GDCL,10/3/2017,2017,EF,Bluegill,173,0,
GDCL,10/3/2017,2017,EF,Bluegill,173,0,
GDCL,10/3/2017,2017,EF,Bluegill,174,0,
GDCL,10/3/2017,2017,EF,Bluegill,174,0,
GDCL,10/3/2017,2017,EF,Bluegill,174,0,
GDCL,10/3/2017,2017,EF,Bluegill,174,0,
GDCL,10/3/2017,2017,EF,Bluegill,175,0,
GDCL,10/3/2017,2017,EF,Bluegill,175,0,
GDCL,10/3/2017,2017,EF,Bluegill,175,0,
GDCL,10/3/2017,2017,EF,Bluegill,175,0,
GDCL,10/3/2017,2017,EF,Bluegill,175,0,
GDCL,10/3/2017,2017,EF,Bluegill,175,0,
GDCL,10/3/2017,2017,EF,Bluegill,175,0,
GDCL,10/3/2017,2017,EF,Bluegill,177,0,
GDCL,10/3/2017,2017,EF,Bluegill,177,0,
GDCL,10/3/2017,2017,EF,Bluegill,177,0,
GDCL,10/3/2017,2017,EF,Bluegill,178,0,
GDCL,10/3/2017,2017,EF,Bluegill,178,0,
GDCL,10/3/2017,2017,EF,Bluegill,178,0,
GDCL,10/3/2017,2017,EF,Bluegill,178,0,
GDCL,10/3/2017,2017,EF,Bluegill,179,0,
GDCL,10/3/2017,2017,EF,Bluegill,179,0,
GDCL,10/3/2017,2017,EF,Bluegill,180,0,
GDCL,10/3/2017,2017,EF,Bluegill,180,0,
GDCL,10/3/2017,2017,EF,Bluegill,180,0,
GDCL,10/3/2017,2017,EF,Bluegill,180,0,
GDCL,10/3/2017,2017,EF,Bluegill,181,0,
GDCL,10/3/2017,2017,EF,Bluegill,182,0,
GDCL,10/3/2017,2017,EF,Bluegill,182,0,
GDCL,10/3/2017,2017,EF,Bluegill,182,0,
GDCL,10/3/2017,2017,EF,Bluegill,182,0,
GDCL,10/3/2017,2017,EF,Bluegill,186,0,
GDCL,10/3/2017,2017,EF,Bluegill,187,0,
GDCL,10/3/2017,2017,EF,Bluegill,187,0,
